playerID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,height,weight,year,tmID,age,players_prizes
beardal01w,34,34,1025,446,28,115,143,91,69,34,80,98,380,159,149,107,56,21,0,71.0,160.0,6,WAS,24.0,0.0
beardal01w,30,30,1015,422,25,105,130,90,45,9,63,87,408,155,105,80,101,32,0,71.0,160.0,7,WAS,25.0,0.0
beardal01w,32,32,994,614,23,126,149,98,59,25,90,92,469,232,149,113,102,37,4,71.0,160.0,8,WAS,26.0,0.0
beardal01w,33,33,1169,622,25,114,139,99,64,24,94,105,539,224,150,127,146,47,2,71.0,160.0,9,WAS,27.0,0.0
beardal01w,33,33,1092,532,4,114,118,117,55,19,106,111,474,187,146,107,144,51,2,71.0,160.0,10,WAS,28.0,0.0
beckki01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,125.0,9,SEA,24.0,0.0
bennije01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,185.0,6,IND,25.0,0.0
berezva01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,167.77260981912144,9,SAS,23.0,0.0
berthlu01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,188.0,3,CLE,25.0,0.0
berthlu01w,5,0,16,8,3,1,4,0,0,0,0,5,7,3,4,2,1,0,0,74.0,188.0,4,CLE,26.0,0.0
berthlu01w,22,4,201,84,20,22,42,6,10,4,22,38,52,27,46,30,1,0,0,74.0,188.0,5,HOU,27.0,0.0
beviltu01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,145.0,1,POR,29.0,0.0
beviltu01w,32,32,796,153,19,76,95,89,41,6,66,93,112,40,72,56,60,17,1,67.0,145.0,2,POR,30.0,0.0
beviltu01w,31,31,788,153,27,61,88,103,59,6,52,102,119,39,71,52,73,23,0,67.0,145.0,3,POR,31.0,0.0
beviltu01w,27,19,421,84,7,26,33,44,22,3,27,49,61,25,29,19,36,15,0,67.0,145.0,4,SEA,32.0,0.0
beviltu01w,31,0,252,58,9,17,26,32,14,1,20,30,51,17,21,16,21,8,0,67.0,145.0,5,SEA,33.0,0.0
beviltu01w,34,0,358,79,6,20,26,29,38,2,26,48,60,24,29,20,26,11,0,67.0,145.0,6,IND,34.0,0.0
beviltu01w,31,31,873,194,12,51,63,80,60,0,51,69,162,63,44,24,116,44,0,67.0,145.0,7,IND,35.0,0.0
beviltu01w,34,34,999,223,10,67,77,79,71,1,54,72,185,76,53,38,106,33,0,67.0,145.0,8,IND,36.0,0.0
beviltu01w,34,34,901,180,15,60,75,92,56,2,53,88,150,66,22,15,89,33,0,67.0,145.0,9,IND,37.0,1.0
beviltu01w,30,30,876,175,12,56,68,65,59,4,35,73,158,64,28,17,89,30,0,67.0,145.0,10,IND,38.0,1.0
bibbyje01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,139.0,1,NYL,22.0,0.0
bibrzag01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,168.0,5,SAS,23.0,0.0
bibrzag01w,24,9,465,159,5,23,28,40,21,7,32,38,151,55,26,23,84,26,0,74.0,168.0,7,SAS,25.0,0.0
birdsu01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,150.0,3,SEA,23.0,0.0
birdsu01w,32,32,1121,461,17,66,83,191,55,3,109,48,375,151,112,102,142,57,0,69.0,150.0,4,SEA,24.0,0.0
birdsu01w,34,34,1136,420,22,91,113,221,48,1,110,47,368,155,69,61,140,49,0,69.0,150.0,5,SEA,25.0,0.0
birdsu01w,34,34,1136,439,22,84,106,184,51,5,87,48,326,151,85,73,146,64,0,69.0,150.0,6,SEA,26.0,0.0
birdsu01w,30,30,1020,364,21,51,72,176,29,6,87,46,294,130,69,59,103,45,0,69.0,150.0,7,SEA,27.0,0.0
birdsu01w,34,34,1065,389,24,78,102,162,61,5,88,60,333,137,68,59,153,56,1,69.0,150.0,8,SEA,28.0,1.0
birdsu01w,29,29,919,303,8,49,57,143,43,8,67,46,276,118,26,22,133,45,0,69.0,150.0,9,SEA,29.0,1.0
birdsu01w,33,33,1111,465,14,70,84,169,39,3,88,61,390,172,85,74,137,47,0,69.0,150.0,10,SEA,30.0,1.0
bjorkte01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,175.0,5,CHA,23.0,0.0
blackch01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,188.0,10,CON,25.0,0.0
blackde01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0,124.0,1,MIA,35.0,0.0
blackde01w,32,32,820,152,23,69,92,98,58,1,50,86,150,57,42,29,42,9,0,63.0,124.0,2,MIA,36.0,0.0
blackde01w,32,32,946,180,43,83,126,123,82,2,51,69,187,70,48,37,20,3,0,63.0,124.0,3,MIA,37.0,4.0
blackde01w,32,32,899,153,41,82,123,137,59,5,32,75,160,64,33,25,3,0,1,63.0,124.0,4,CON,38.0,4.0
blackde01w,34,0,373,55,16,35,51,46,20,2,18,33,68,24,9,6,3,1,0,63.0,124.0,5,CON,39.0,4.0
blodgci01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,130.0,1,SAC,26.0,0.0
blodgci01w,20,0,133,52,1,8,9,3,8,1,13,9,50,20,6,4,28,8,0,69.0,130.0,2,SAC,27.0,0.0
blueni01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,163.0,7,WAS,23.0,0.0
blueni01w,24,0,181,54,7,13,20,36,18,0,18,36,54,14,31,25,12,1,0,68.0,163.0,8,WAS,24.0,0.0
blueni01w,30,1,420,107,13,50,63,48,22,5,37,55,108,35,37,31,27,6,0,68.0,163.0,9,WAS,25.0,0.0
blueni01w,26,22,537,99,15,26,41,73,19,2,42,59,102,33,25,19,32,14,0,68.0,163.0,10,WAS,26.0,0.0
blueoc01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,163.0,4,HOU,28.0,0.0
blueoc01w,16,0,37,4,1,1,2,2,0,0,2,3,4,1,4,2,0,0,0,73.0,163.0,5,HOU,29.0,0.0
bobbish01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,130.0,9,LAS,24.0,0.0
bobbish01w,26,17,552,106,16,48,64,90,25,1,63,40,127,35,22,16,71,20,0,62.0,130.0,10,LAS,25.0,0.0
boddiwh01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,149.0,10,SAC,23.0,0.0
boltoru01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,150.0,1,SAC,34.0,0.0
boltoru01w,29,29,868,380,42,64,106,57,34,1,45,60,368,133,84,64,160,50,0,69.0,150.0,2,SAC,35.0,0.0
boltoru01w,31,0,582,222,34,59,93,55,28,1,39,55,216,73,52,36,110,40,0,69.0,150.0,3,SAC,36.0,0.0
